english,german
All the flowers in the garden are yellow.,Alle Blumen im Garten sind gelb.
Everyone speaks German except the man.,Alle sprechen Deutsch außer dem Mann.
Please write down my address.,Bitte schreiben Sie meine Adresse auf.
Does Tom need a lawyer?,Braucht Tom einen Anwalt?
You're at the wrong address with me.,Da bist du bei mir an der falschen Adresse.
There was nobody in the garden.,Da war niemand im Garten.
Your answer is wrong.,Deine Antwort ist falsch.
Your answer is correct.,Deine Antwort ist richtig.
The lawyer was expecting him.,Der Anwalt erwartete ihn.
The man gives the book to the children.,Der Mann gibt den Kindern das Buch.
The man is a lawyer.,Der Mann ist Anwalt.
The neighbor's cat loves our garden.,Des Nachbarn Katze liebt unseren Garten.
The sender's address belongs on every package.,Die Adresse des Absenders gehört auf jedes Paket.
The pineapple is a tropical fruit.,Die Ananas ist eine tropische Frucht.
The answer is right.,Die Antwort ist richtig.
The glasses and plates were broken.,Die Gläser und Teller waren kaputt.
The guests each drank two glasses of wine.,Die Gäste tranken je zwei Gläser Wein.
The dogs are in the garden.,Die Hunde sind im Garten.
The children sing.,Die Kinder singen.
You are washing my apple.,Du wäschst meinen Apfel.
He drank three glasses of water.,Er hat drei Gläser Wasser getrunken.
He lives with the wife.,Er wohnt bei der Frau.
It is an old building with a garden.,Es ist ein Altbau mit Garten.
Your lawyers want to see you.,Eure Anwälte wollen euch sprechen.
Enter the address.,Gib die Adresse ein.
Do you have the exact address?,Hast du die genaue Adresse?
Do you have any apples?,Hast du Äpfel?
Here's the address.,Hier ist die Adresse.
"Here are the glasses, the plates and the serviettes.","Hier sind die Gläser, die Teller und die Servietten."
I am in the garden.,Ich bin im Garten.
I am twenty-four years old.,Ich bin vierundzwanzig Jahre alt.
I need a lawyer.,Ich brauche einen Anwalt.
I don't need lawyers.,Ich brauche keine Anwälte.
I need new glasses.,Ich brauche neue Gläser.
I am eating an apple.,Ich esse einen Apfel.
I like apples.,Ich esse gern Äpfel.
I give the child the book.,Ich gebe dem Kind das Buch.
I give the book to the man.,Ich gebe dem Mann das Buch.
I give the book to the bosses.,Ich gebe den Chefs das Buch.
I give the book to the children.,Ich gebe den Kindern das Buch.
I give the book to the wife.,Ich gebe der Frau das Buch.
I'm going to the concert.,Ich gehe nach dem Konzert.
I'm going to the doctor.,Ich gehe zum Arzt.
I have a lawyer.,Ich habe einen Anwalt.
I'll get some glasses.,Ich hole Gläser.
I can pick up grandad from work.,Ich kann Opa von der Arbeit abholen.
I don't even know your address.,Ich kenne noch nicht einmal deine Adresse.
I come from Switzerland.,Ich komme aus der Schweiz.
I like pineapple.,Ich mag Ananas.
I like apples.,Ich mag Äpfel.
I am peeling apples.,Ich schäle Äpfel.
I see the children.,Ich sehe die Kinder.
I talk to the wife.,Ich spreche mit der Frau.
I do not know the address.,Ich weiß die Adresse nicht.
I want the address.,Ich will die Adresse.
I want a lawyer.,Ich will einen Anwalt.
I want a direct answer.,Ich wünsche eine direkte Antwort.
There was nobody in the garden.,Im Garten war niemand.
Is my answer correct?,Ist meine Antwort richtig?
"Yes, my work is very interesting.","Ja, meine Arbeit ist sehr interessant."
You know the answer?,Kennst du die Antwort?
Do you like apples?,Magst du Äpfel?
My lawyer is on his way.,Mein Anwalt ist unterwegs.
My father is in the garden.,Mein Vater ist im Garten.
My address is very long.,Meine Adresse ist sehr lang.
My grandma works in the garden.,Meine Oma arbeitet im Garten.
"After the concert, let's go.","Nach dem Konzert, gehen wir."
"No, that's Lisa's number.","Nein, das ist doch die Nummer von Lisa."
No one knows the answer.,Niemand kennt die Antwort.
No one knows the answer.,Niemand weiß die Antwort.
Don't tell him the answer.,Sag ihm nicht die Antwort.
Will you please send me Mary's address?,Schickst du mir bitte Marias Adresse?
Are you writing from Australia?,Schreibst du aus Australien?
Were there any glasses on the table?,Standen Gläser auf dem Tisch?
Tom needs answers.,Tom braucht Antworten.
Tom eats a lot of apples.,Tom isst vielen Äpfeln.
Tom is a lawyer.,Tom ist Anwalt.
"Tom is in the garden, too.",Tom ist auch im Garten.
Tom likes apples.,Tom mag Äpfel.
Tom drank three glasses of wine.,Tom trank drei Gläser Wein.
Tom always drinks two glasses of wine per meal.,Tom trinkt immer zwei Gläser Wein pro Mahlzeit.
There were two glasses below the mirror.,Unterhalb des Spiegels standen zwei Gläser.
What do you do for a living?,Was machen Sie beruflich?
What is your profession?,Was sind Sie von Beruf?
Whose address is this?,Wessen Adresse ist das?
How old are you?,Wie alt bist du?
What is your name?,Wie ist Ihr Name?
What is your name?,Wie ist dein Name?
What is your name?,Wie ist euer Name?
What is my name?,Wie ist mein Name?
What is his name?,Wie ist sein Name?
What is our name?,Wie ist unser Name?
What is your address?,Wie lautet Ihre Adresse?
We've known each other since the conference.,Wir kennen uns schon seit der Konferenz.
Apples are red.,Äpfel sind rot.
